region,GDP per capita (constant 2015 US$)
Belize,2241.675545
Belize,2511.109385
Belize,2557.954095
Belize,2505.931066
Belize,2615.585112
Belize,2766.887652
Belize,2914.254635
Belize,3230.438706
Belize,3187.322664
Belize,3107.743967
Belize,2970.125649
Belize,2959.144261
Belize,2921.161805
Belize,2985.181095
Belize,3232.394566
Belize,3470.881206
Belize,3837.292403
Belize,4185.207492
Belize,4567.64728
Belize,5014.297695
Belize,5220.64559
Belize,5119.192762
Belize,5021.867308
Belize,4921.528771
Belize,4927.029981
Belize,4943.16082
Belize,5204.56481
Belize,5693.741485
Belize,5795.345531
Belize,5903.978933
Belize,6259.038916
Belize,6353.227391
Belize,6301.915865
Belize,6400.181438
Belize,6421.955138
Belize,6148.522801
Belize,5955.111038
Belize,5881.382237
Belize,5742.670206
Belize,5831.158848
Belize,5960.360401
Belize,6069.46148
Belize,6142.478833
Belize,6024.835945
Belize,5806.065449
Belize,5756.852249
Belize,5907.348872
Belize,5040.122521
Belize,5733.352611
Benin,657.2189415
Benin,667.5197086
Benin,634.185933
Benin,652.9089598
Benin,684.006879
Benin,706.9956759
Benin,718.4122419
Benin,712.090361
Benin,724.8012367
Benin,730.5617469
Benin,730.5233477
Benin,704.458103
Benin,733.5709844
Benin,744.0288108
Benin,751.6637186
Benin,698.4851507
Benin,688.0399097
Benin,704.7878625
Benin,695.8809954
Benin,722.3994964
Benin,750.9600069
Benin,803.165084
Benin,798.2682395
Benin,742.1193272
Benin,778.2914483
Benin,812.9483203
Benin,806.5404339
Benin,771.1611554
Benin,773.8469744
Benin,729.408784
Benin,771.075864
Benin,779.423309
Benin,778.2552682
Benin,787.8191187
Benin,774.2629219
Benin,804.350333
Benin,817.8497352
Benin,839.9516967
Benin,847.0744875
Benin,865.4525625
Benin,888.7301846
Benin,908.347703
Benin,922.4176387
Benin,925.8492611
Benin,938.0381781
Benin,924.2695241
Benin,931.7691409
Benin,959.5549935
Benin,977.3031632
Benin,970.9659689
Benin,962.8161095
Benin,962.7445897
Benin,980.0746132
Benin,1020.528234
Benin,1054.108767
Benin,1041.652523
Benin,1045.150937
Benin,1072.361966
Benin,1111.22724
Benin,1153.72621
Benin,1164.705946
Benin,1214.07759
Bermuda,37935.8868
Bermuda,38751.23323
